Rbr izborne jedinice biraèa;Naziv izborne jedinice biraèa;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;SLAVKO ŠTEFANIÆ;SINIŠA MAŽURAN;MANDA POSPIŠIL;ŽELJKA LEŠIÆ;TOMISLAV DEVÈIÆ;ENVER KAMIÆ;DANIJELA KELOVIÆ;MIROSLAV BAIÆ;SILVIO SERTIÆ;ANTONIJO VUGRINEC;GORAN KUCKO;SENADA SERTIÆ;DARKO POSPIŠIL;ANA MARIJA RADAŠINOVIÆ;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"", DEMOKRATSKA PRIGORSKO - ZAGREBAÈKA STRANKA - DPS, DEMOKRATSKA STRANKA ŽENA - DSŽ, HRVATSKA EUROPSKA STRANKA - HES, HRVATSKA RADNIÈKA STRANKA - HRS, HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, ISTARSKI DEMOKRATI - DEMOCRATICI ISTRIANI - ID - DI, MEÐIMURSKA STRANKA - MS, NEZAVISNI SELJACI HRVATSKE - NSH, NOVI VAL - STRANKA RAZVOJA - NOVI VAL, STRANKA UMIROVLJENIKA - SU, UMIROVLJENIÈKA DEMOKRATSKA UNIJA - UDU, ZELENI SAVEZ - ZELENI, ZELENA STRANKA - ZS";MIODRAG DEMO;ZVONKO KUNIÆ, dipl. oec.;DAMIR PETRAVIÆ, mag. ing.;BRANIMIR BEŠLIÆ, prof.;SABINA FERDERBER;MATO MLINARIÆ;MIRA BOŽIÆ, bacc. paed.;BRANIMIR BUDETIÆ;KATA TOMAC;MIRKO LAJPOLD;SANDA KOLAKOVIÆ, dipl. uè.;ZLATA FILIPOVIÆ, dipl. ing.;ERVIN JAHIÆ;MARIJA SEKELEZ, mag. art.;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ - HSP AS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS;DRAŽEN BOŠNJAKOVIÆ;GORAN MARIÆ;GORDAN JANDROKOVIÆ;STJEPAN KOŽIÆ;IVO ŽINIÆ;MARIO ŽUPAN;JOSIP BUDIMIR;DRAŽEN BARIŠIÆ;dr. sc. ZLATKO HASANBEGOVIÆ;VLATKA VUKELIÆ;ANTUN VIDAKOVIÆ;ŽELJKA JOSIÆ;ŽELJKO LENART;MARIJA STARÈEVIÆ;HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA STRANKA PRAVA - HSP, OBITELJSKA STRANKA - OS;BRANKO BORKOVIÆ;SLAVKO MUŽA;PEJO TRGOVÈEVIÆ;ŽELJKO SOLDO;DRAŽEN RAJIÆ;ÐURÐICA JURIÆ;KRISTINA GRUBEC;DAMIR MARKUŠ;ANTO ŽILIÆ;PAVLINA IVIÆ;ANA STRILIÆ;NIKOLINA ŠEPOVIÆ;ANDRIJA NEJAŠMIÆ;MARICA ŠANTEK;MOST NEZAVISNIH LISTA - MOST;JASNA MATULIÆ, dipl. oec.;JURO MARTINOVIÆ, dipl. iur.;dr. sc. TOMISLAV DUBRAVAC;mr. sc. PETAR ÆOSIÆ, bacc. med. techn.;MATIJA REIZOVIÆ;GORDANA ÐURIÆ;IVO GRABOVAC, dipl. ing. stroj.;ZORAN MARINOVIÆ, prof.;MILAN BRIGLJEVIÆ;LIDIJA IVEKOVIÆ;ANA KLARIÆ;LUCA MIKIÆ;VITA GLASNOVIÆ, struè. spec. comm.;HRVOJE MUCAVAC, dipl. ing. grað.;NARODNA STRANKA - REFORMISTI - REFORMISTI, NAPRIJED HRVATSKA! - PROGRESIVNI SAVEZ IVE JOSIPOVIÆA, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI, ZELENI FORUM, DUBROVAÈKI DEMOKRATSKI SABOR - DDS;DARINKO DUMBOVIÆ;ALENKA KOŠIŠA ÈIÈIN-ŠAIN;ŽELJKO VUGRIÆ;NEVENKA LASIÆ;ANÐELKO HRUPAÈKI;MARINA KOVAÈ;SANJA STJEPIÆ;MIRA HARCET;BOŽICA SOLENIÈKI;ANITA BEGIÆ HADŽIPAŠIÆ;dr. sc. ZVONIMIR KOTARAC;ANDRIJANA IMPRIÆ;DIANA MUŽIÆ, dr. stom.;SAVKA KUÈAR-DRAGIÈEVIÆ;ODRŽIVI RAZVOJ HRVATSKE - ORaH;MLADEN NOVAK;dr. sc. SANDRA VRAÈAN;SLAVEN VUJIÆ;JASMINA BUŽINKIÆ;DARKO STOŠIÆ;dr. sc. ŽELJKA MAÈAK ŠAFRANKO;JOVAN BRAJENOVIÆ;ŽELJKA GREDELJ;DANIEL BERDAIS;ANA HRESTAK;VEDRAN BAJSIÆ;LIDIJA GREDIÈAK;DAVOR RADAKOVIÆ;VANDA MEŠNJAK BARŠIÆ;U IME OBITELJI - PROJEKT DOMOVINA;KREŠIMIR PLANINIÆ, dipl. iur.;TIN IVANKOVIÆ, prof.;ROBERT ŽIGA, dipl. ing.;IGOR POLIÆ, dipl. ing.;IVAN TRŽIÆ;SONJA REPIÆ, dipl. iur.;MARIJA VUKOVIÆ;IVA PEM NOVOSEL, dr. med.;ZLATA CESTARIÆ;GORAN PLANK;SANDA ZENKO, dipl. ing.;RUŽA KORDIÆ, dipl. ing.;IVANA BAN;MONIKA PERIÆ;AKCIJA MLADIH - AM;DANIELA JERBIÆ;DRAŽEN MATAKOVIÆ;ALEN STARJAÈKI;DOMAGOJ SUÈIÆ;JASMINA MATAKOVIÆ;GORAN PAVLEK;GORAN BODEGRAJA;MARKO MATAKOVIÆ;ANA TUBIÆ;IVA POTOÈNJAK;LARISA ŠTEFANÈIÆ;NINA FRGAÈIÆ;DIJANA JAKOVAC;TAJANA BUKOVIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, HRVATSKA DEMOKRATSKA STRANKA, NACIONALNI DEMOKRATI - ND;TIHOMIR VODOPIJA;MONIKA BOBINAC FILIPÈIÆ;ILIJA LOVRIÆ;VANESSA VRHOVEC;MIROSLAV RAGUŽ;IVICA KONTIÆ;MARIO RALJIÆ;MLADEN BRCKO;DAMIR FERENÈAK;SEBASTIAN GRAF SORO;MARTINA ŠIMIÆ;ZEKIJA SARAÐEN;MARINA WOLF;BOŽICA DUÈKIÆ;HRVATSKA ZORA STRANKA NARODA - HZ;ANTE BIRIN;STJEPAN SVIBEN;IVICA PETROVIÆ;MIRNA MRKONJIÆ SMAILAGIÆ;IVAN KREŠTELICA;DUBRAVKA KORUGA;DARKO KUJUNDŽIÆ;BRANKICA SERTIÆ;IVO PETRIÆ;RENATA PANADIÆ;MARIO DABO;JASENKA SAVIÆ;LUKA VLADANOVIÆ;MARTINA SVIBEN;RADNIÈKA FRONTA - RF;MARKO MILOŠEVIÆ;ZVJEZDANA CIKOTA;ŽELJKO MARIJAN;TATJANA SAMARDŽIÆ-DUŽEVIÆ;MARIN PANOVIÆ;ANA MRKONJIÆ;ALEKSANDAR DOLIÆ;ŽELJKA BILOŠ;DIJAMANTIS DUŽEVIÆ;MAJA ŠÆUKANEC;ZORAN BURIÆ;LARISA PETRIÆ;BOJAN BIRK;DENIS GETO;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKI LABURISTI - STRANKA RADA, AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A - HSS, ZAGORSKA STRANKA - ZS;BORIS LALOVAC;RAJKO OSTOJIÆ;GORAN BEUS RICHEMBERGH;MIRANDO MRSIÆ;IVO JELUŠIÆ;ZORAN VASIÆ;BOJAN GLAVAŠEVIÆ;KRISTINA IKIÆ BANIÈEK;IVA PRPIÆ;IVICA RENDULIÆ;LJEPOSAVA BARTA;MAJA SPORIŠ;BORIS BLAŽEKOVIÆ;SVJETLANA LAZIÆ;ZA GRAD;SANDRO SALOPEK;JELENA ŠIMUNOVIÆ;NEVEN RAUK;BARBARA BENÈIÆ;FRANJO KIŠ;SARA-MARIJA STARÈEVIÆ;HRVOJE ŠINCEK;RENATA NOVAK-PERJANEC;TOMISLAV TUKŠA;LJILJANA KELIHAR;VINKO LJUBAS;TENA ŠKILJEVIÆ;KREŠIMIR ÈORAK;IVANA ÐURÐAN;ŽIVI ZID;DRAGAN ZORIÆ;DRAŽAN DIZDAR, prof. dr. sc.;IVICA MARKOVIÆ;NADA TUŠAK;MIRALEM VATRAÈ;DIJANA SAVIÆ;SUZANA RENDIÆ;SLAVICA KRÈELIÆ;SNJEŽANA VUÈINOVIÆ;BILJANA HERŠAK;TAJNA PAVLOVIÆ STOJIÆ;DAVOR SREBAÈIÆ;NEVEN MALIVUK;MANIKA MOHR
006;VI. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;001;PU 02-06, ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10, ÈAZMA;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;PU 03-01, DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4, DARUVAR;4;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;PU 06-24, GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21, GAREŠNICA;6;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;PU 07-01, GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUÐMAN;ULICA IVANA NEPOMUTKA JEMERŠIÆA, GRUBIŠNO POLJE;8;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;PU 02-09, BAKAR;PROSTORIJE GRADSKE VIJEÆNICE;BAKAR, PRIMORJE 39;5;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;PU 09-09, CRES;GRADSKA VIJEÆNICA;CRESKOG STATUTA 15, CRES;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;001;PU 10-10, CRIKVENICA;CRIKVENICA, ZGRADA GRADSKE VIJEÆNICE;PRERADOVIÆEVA 1, CRIKVENICA;7;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;001;PU 03-08, DELNICE;DELNICE, ZGRADA ŠUMARIJE;PETRA KREŠIMIRA IV KBR. 54;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;001;DOM 50, KRK;DOM ZA STARIJE OSOBE MALI KARTEC;LINA BOLMARÈIÆA 1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;002;PU 11-10, KRK;KRK, MALA VIJEÆNICA GRADA KRKA;TRG JOSIPA BANA JELAÈIÆA BROJ 2, KRK;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;001;DOM 51, VELI LOŠINJ;DOM ZA STARIJE OSOBE MARKO A. STUPARIÆ;NAZOROVA 40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;002;PU 12-14, MALI LOŠINJ;TURISTIÈKA AGENCIJA LOŠINJSKA PLOVIDBA;RIVA LOŠINJSKIH KAPETANA 8, MALI LOŠINJ;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;001;DOM 49, OPATIJA;DOM ZA STARIJE OSOBE VOLOSKO;ANDRIJE ŠTANGERA 34;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;002;PU 13-15, OPATIJA;OPATIJA, GRADSKA VIJEÆNICA;M. TITA 3, OPATIJA;7;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;001;PU 14-09, RAB;RAB, PROSTORIJA GRADSKE VIJEÆNICE GRADA RABA;TRG MUNICIPIUM ARBA BR. 2, RAB;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;001;DOM 48, RIJEKA;CENTAR ZA REHABILITACIJU RIJEKA;KOZALA 77B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
